n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
313,0.00208,-,0.03578,0.03742,0.03968,0.03660
314,0.00213,-,0.03536,0.03955,0.03923,0.03897
315,0.00259,-,0.03962,0.03846,0.03585,0.03749
316,0.00219,-,0.03904,0.03844,0.03875,0.03611
317,0.00224,-,0.03966,0.03794,0.03979,0.03978
318,0.00215,-,0.03948,0.03646,0.03752,0.03580
319,0.00213,-,0.03937,0.03738,0.03979,0.03673
320,0.00214,-,0.03947,0.03958,0.03977,0.03973
321,0.00214,-,0.03946,0.03871,0.03994,0.03892
322,0.00232,-,0.03970,0.03880,0.03613,0.03876
323,0.00213,-,0.03576,0.03754,0.03876,0.03602
324,0.00214,-,0.03906,0.03962,0.03975,0.03888
325,0.00222,-,0.03894,0.03968,0.03975,0.03806
326,0.00216,-,0.03949,0.03840,0.03745,0.03755
327,0.00213,-,0.03909,0.03759,0.03734,0.03749
328,0.00214,-,0.03908,0.03961,0.03631,0.03980
329,0.00210,-,0.03823,0.03763,0.03854,0.03777
330,0.00211,-,0.03948,0.03685,0.03751,0.03753
331,0.00214,-,0.03947,0.03838,0.03878,0.03615
332,0.00215,-,0.03908,0.03838,0.03752,0.03755
333,0.00215,-,0.03947,0.03965,0.03976,0.03732
334,0.00217,-,0.03573,0.03752,0.03604,0.03726
335,0.00216,-,0.03948,0.03868,0.03842,0.03981
336,0.00210,-,0.03569,0.03758,0.03752,0.03752
337,0.00211,-,0.03911,0.03589,0.03976,0.03977
338,0.00212,-,0.03947,0.03961,0.03973,0.03981
339,0.00213,-,0.03944,0.03956,0.03964,0.03843
340,0.00203,-,0.03932,0.03891,0.03882,0.03973
341,0.00211,-,0.03949,0.03864,0.03778,0.03752
342,0.00212,-,0.03944,0.03961,0.03761,0.03631
343,0.00212,-,0.03945,0.03840,0.03749,0.03669
344,0.00228,-,0.03957,0.03844,0.03754,0.03748
345,0.00211,-,0.03911,0.03839,0.03755,0.03748
346,0.00214,-,0.03531,0.03636,0.03751,0.03754
347,0.00212,-,0.03947,0.03840,0.03753,0.03719
348,0.00207,-,0.03915,0.03880,0.03678,0.03711
349,0.00212,-,0.03945,0.03831,0.03756,0.03699
350,0.00212,-,0.03908,0.03844,0.03752,0.03884
351,0.00214,-,0.03899,0.03877,0.03879,0.03981
352,0.00209,-,0.03781,0.03959,0.03972,0.03966
353,0.00203,-,0.03780,0.03514,0.03971,0.03906
354,0.00211,-,0.03768,0.03961,0.03974,0.03665
355,0.00214,-,0.03909,0.03879,0.03599,0.03877
356,0.00208,-,0.03546,0.03629,0.03876,0.03757
357,0.00208,-,0.03822,0.03964,0.03977,0.03656
358,0.00210,-,0.03949,0.03723,0.03752,0.03881
359,0.00213,-,0.03910,0.03841,0.03632,0.03751
360,0.00215,-,0.03906,0.03841,0.03566,0.03717
361,0.00211,-,0.03574,0.03756,0.03589,0.03753
362,0.00217,-,0.03527,0.03749,0.03753,0.03758
363,0.00192,-,0.03951,0.03756,0.03879,0.03638
364,0.00218,-,0.03903,0.03844,0.03753,0.03733
365,0.00213,-,0.03948,0.03835,0.03853,0.03987
366,0.00212,-,0.03573,0.03605,0.03752,0.03754
367,0.00214,-,0.03944,0.03956,0.03755,0.03752
368,0.00213,-,0.03536,0.03878,0.03627,0.03753
369,0.00210,-,0.03949,0.03759,0.03758,0.03869
370,0.00213,-,0.03944,0.03910,0.03611,0.03752
